module.state_technical_error|Errore Tecnico
tab.home|Home
tab.product|Prodotto
tab.order|Ordine
tab.order_setting|Impostazione Ordine
tab.help|Aiuto
tab.main_setting|Impostazioni Principali
tab.legals|Condizioni Legali
menu.product|Prodotto
menu.order|Ordine
menu.jump_to_lengow|Vai su Lengow
menu.debug_active|Debug Mode
menu.counter|Periodo di prova: %{counter} giorno(s) a sinistra
menu.upgrade_account|Iscriviti
menu.order_overview|Panoramica
menu.order_parameter|Parametro
menu.help|Aiuto
menu.global_parameter|Impostazioni Generali
menu.new_version_available|È disponibile una nuova versione %{version}!
menu.download_plugin|Scaricare
footer.legals|Condizioni Legali
footer.plugin_lengow|Lengow plugin PrestaShop
footer.lengow_link_url|http://www.lengow.com/it/
dashboard.screen.welcome_back|Ciao! Ben tornato!
dashboard.screen.go_to_lengow|Vai su Lengow
dashboard.screen.products_title|Prodotti
dashboard.screen.products_text|Visualizza tutti i prodotti disponibili per poter preparare il tuo catalogo
dashboard.screen.orders_title|Ordini
dashboard.screen.orders_text|Gestisci i tuoi ordini direttamente nel tuo PrestaShop
dashboard.screen.settings_title|Impostazioni
dashboard.screen.settings_text|Configura le impostazioni principali del tuo plugin PrestaShop
dashboard.screen.some_help_title|Hai bisogno d'aiuto?
dashboard.screen.get_in_touch|Resta in contatto con Lengow.
dashboard.screen.visit_help_center|Visita il nostro Help Center
dashboard.screen.configure_plugin|per maggiori informazioni su come configurare il tuo plugin PrestaShop
status.screen.title_end_free_trial|Tutte le cose belle hanno una fine
status.screen.subtitle_end_free_trial|Hai raggiunto la fine del tuo periodo di prova!
status.screen.first_description_end_free_trial|Il tuo periodo di prova di 15 giorni su Lengow é scaduto. Che brutta notizia, ma il meglio deve ancora arrivare! Ci auguriamo che Lengow vi abbia aiutato a migliorare il vostro business.
status.screen.second_description_end_free_trial|Il tuo account sarà sospeso fino a quando non sarà acquistata una nuova licenza. Tutte le pubblicazioni e indicizzazioni in corso saranno sospese
status.screen.third_description_end_free_trial|Non dimenticare che l'account di prova sarà eliminato dopo 30 giorni dalla fine del periodo di prova. Iscriviti in modo da non perdere il lavoro fatto fino ad ora sui tuoi canali.
status.screen.upgrade_account_button|Ok, sono pronto per iscrivermi!
status.screen.refresh_action|Aggiorna il mio account
product.screen.nb_exported|prodotto esportato
product.screen.nb_available|prodotto disponibile
product.screen.include_specific_product|Includi prodotto specifico 
product.screen.include_specific_product_support|Usa questa opzione per selezionare i fuoi prodotti uno alla volta
product.screen.no_result_found|Scusa, nessun risultato trovato. <br />Perfavore prova a cambiare la tua ricerca.
product.screen.no_product_selected|Seleziona prodotto
product.screen.date_from|Da
product.screen.date_to|A
product.screen.button_copy|Copia
product.screen.button_download|Scarica
product.screen.button_yes|Si
product.screen.button_no|No
product.screen.button_search|Cerca
product.screen.select_all_products|Seleziona tutti i tuoi prodotti (%{nb} prodotti)
product.screen.add_confirmation|Vuoi aggiungere %{nb} prodotti alla tua selezione?
product.screen.remove_confirmation|Vuoi rimuovere %{nb} prodotti dalla tua selezione?
product.screen.remove_from_export|Rimuovi da esportazione
product.screen.add_from_export|Aggiungi a esportazione
product.table.id_product|ID
product.table.image|Immagine
product.table.name|Nome
product.table.reference|SKU
product.table.category_name|Categoria
product.table.price|Prezzo base
product.table.final_price|Prezzo finale
product.table.quantity|Quantità
product.table.lengow_status|Includi nell'esportazione?
product.table.pagination_of|di
order.screen.import_charge_first|Recupera i tuoi ordini...
order.screen.import_charge_second|Un po' di pazienza; non ci vorrà molto (il tempo medio di attesa è 2 min )
order.screen.all_order_will_be_sent_to|Tutti i report relativi a problemi sugli ordini verranno inviati via mail a
order.screen.change_this|Cambia?
order.screen.last_order_importation|Ultima sincronizzazione
order.screen.no_order_importation|Nessuna sincronizzazione per il momento
order.screen.import_auto|Auto
order.screen.import_manuel|Manuale
order.screen.button_update_orders|Sincronizza Ordini
order.screen.button_reimport_order|Importa ancora ordine
order.screen.button_resend_order|Nuovo Invio Ordine
order.screen.debug_warning_message|Sei in Debug Mode. Puoi importare gli ordini, ma non è possibile alcuna interazione con Lengow. <a href=%{url}>Cambia questo</a>
order.screen.import_single_warning_message|La tua versione di PrestaShop é tra la 1.5.2 e 1.5.4. Per ragioni di sicurezza, solo un ordine sarà importato via sincronizzazione.
order.screen.no_carrier_warning_message|Alcuni ordini potrebbero non essere importati perché non é stato specificato il metodo di spedizione di default in uno dei paesi di spedizione. <a href=%{url}>Modifica</a>
order.screen.not_imported|non importato
order.screen.not_sent|non inviato
order.screen.refresh_order|aggiorna ordine
order.screen.order_not_imported|Gli ordini non sono stati importati in PrestaShop
order.screen.action_sent|action %{action_type} spedito
order.screen.action_waiting_return|Azione inviata in attesa di risposta
order.screen.action_sent_not_work|Azione di invio alla marketplace fallita
order.screen.no_error_message|Errore non identificato, contattare il supporto Lengow per maggiori informazioni
order.screen.no_order_title|Il bello deve ancora venire!
order.screen.no_order_description|I tuoi prodotti hanno una grande visibilità e le tue vendite stanno per esplodere!
order.screen.action_success|Riuscito
order.screen.action_error|Errore
order.screen.status_not_synchronized|Non sincronizzato
order.screen.status_accepted|Accettato
order.screen.status_waiting_shipment|In attesa di spedizione
order.screen.status_shipped|Spedito
order.screen.status_closed|Chiuso
order.screen.status_refunded|Rimborsato
order.screen.status_canceled|Cancellato
order.screen.status_shipped_by_mkp|Spedito da Marketplace
order.table.action_lengow|Azione
order.table.order_lengow_state|Stato dell’Ordine Lengow
order.table.marketplace_name|MarketPlace
order.table.shop_name|Negozio
order.table.marketplace_sku|ID ordine
order.table.reference_prestashop|Codice Prodotto
order.table.order_date|Data
order.table.delivery_country|Paese
order.table.order_item|Quantità
order.table.total_paid|Totale
order.table.extra|Extra
order_setting.screen.carrier_management_title|Gestisci i metodi di spedizione per paese
order_setting.screen.carrier_management_description|Seleziona il corriere di default che vuoi utilizare per i tuoi ordini per ogni paese nel quale sei attivo. Poi fai corrispondere il tuo trasportatore marketplace con il corriere PrestaShop
order_setting.screen.marketplace|Marketplace(s)
order_setting.screen.see_delivery_countries|Vedi tutti i miei paesi di spedizione
order_setting.screen.marketplace_matching_title|%{country_name} metodi di spedizione
order_setting.screen.marketplace_matching_description|Qui é possibile scegliere diversi metodi di spedizione per ordini destinati in %{country_name} per ogni marketplace attivo nell'account.
order_setting.screen.country_wt_carrier|Alcuni trasportatori non sono nella lista?
order_setting.screen.please_setup_then|Gestisci i trasportatori
order_setting.screen.default_carrier_prestashop|Il tuo trasportatore di default in PrestaShop
order_setting.screen.please_select_carrier_prestashop|Perfavore seleziona un PrestaShop trasportatore
order_setting.screen.no_default_carrier_selected|Nessun trasportatore di default selezionato in PrestaShop
order_setting.screen.default_carrier_marketplace|Il tuo trasportare di default per %{marketplace_name}
order_setting.screen.please_select_carrier_marketplace|Seleziona il codice trasportatore per %{marketplace_name}
order_setting.screen.no_default_carrier_marketplace_selected|Nessun codice trasportatore di default selezionato
order_setting.screen.tooltip_default_carrier|Non é stato ancora configurato il trasportatore di default per questo marketplace
order_setting.screen.matching_method_marketplace|Fa corrispondere i metodi di trasporto della marketplace con i vostri corrieri Prestashop
order_setting.screen.matching_carrier_marketplace|Fa corrispondere i vostri corrieri Prestashop con i corrieri proposti dalla marketplace
order_setting.screen.no_carrier_enabled|Non c'è nessun trasportatore PrestaShop attivato per %{country_name}
order_setting.screen.button_cancel|Cancella
order_setting.screen.order_status_title|Ordini Stato
order_setting.screen.order_status_description|Collega il tuo Lengow order status per recuperarlo facilmente nei tuoi ordini
order_setting.screen.import_setting_title|Ordine import
order_setting.screen.import_setting_description|Gestisci le impostazioni di importazione ordini marketplace
order_setting.screen.nb_days|giorni
global_setting.screen.notification_alert_title|Attenzione
global_setting.screen.default_export_carrier_title|Calcolo costi di spedizione
global_setting.screen.default_export_carrier_description|Il costo di spedizione del catalogo sarà calcolato in base al trasportatore selezionato
global_setting.screen.tracker_title|Lengow tracker
global_setting.screen.tracker_description|Questo tracker ti permette di recuperare le statistiche degli ordini della tua pagina web direttamente nella piattaforma Lengow.
global_setting.screen.debug_mode_title|Debug Mode
global_setting.screen.debug_mode_description|Utilizza Debug Mode per testare e generare ordini fittizzi. Nota bene, devi attivare questa impostazione SOLAMENTE nel tuo pre-preduction server
global_setting.screen.log_file_title|Log File
global_setting.screen.log_file_description|Trovi tutti i log di manutenzione di seguito (ordini importati,rapporti di errore...). Sarano registrati qui per 20 giorni.
global_setting.screen.please_choose_log|Seleziona Log...
global_setting.screen.download_all_files|Scarica tutti I file
global_setting.screen.uninstall_module|Disinstalla modulo
global_setting.screen.uninstall_module_description|Disistalla tutto il modulo e tutti i dati correlati qui
global_setting.screen.all_data_will_be_lost|Tutti i dati verranno persi (tabelle e configurazione) e perderai lo storico degli ordini
global_setting.screen.you_will_find_a_backup|Dopo aver rimosso il modulo, puoi trovare un back-up del tuo Lengow database
global_setting.screen.prestashop_backup|Backup PrestaShop
global_setting.screen.i_want_uninstall|Voglio disinstallare Lengow modulo
global_setting.screen.button_i_want_uninstall|Disinstalla Lengow Modulo
global_setting.screen.title_modal_uninstall|Disinstalla Lengow Modulo
global_setting.screen.cancel_i_want_uninstall|Cancella
global_setting.screen.to_uninstall_type|Tipo disinstallazione
global_setting.screen.i_am_sure|IO SONO SICURO
global_setting.screen.button_download_file|Scarica log file
global_setting.screen.button_save|Salva
global_setting.screen.plugin_deleting|Cancellazione...
global_setting.screen.plugin_deleted|Eliminato!
global_setting.screen.setting_saving|Salvataggio
global_setting.screen.setting_saved|Salvato!
help.screen.title|Chiedi aiuto al nostro supporto tecnico!
help.screen.contain_text_support|Contattaci o condividi i tuoi feedback con
help.screen.title_lengow_support|il Supporto Lengow
help.screen.link_lengow_support|https://supportlengow.zendesk.com/hc/en-us/requests/new
help.screen.need_some_help|Hai bisogno d'aiuto ?
help.screen.contain_text_support_hour|Faremo il possibile per darti una risposta durante le ore di lavoro (dal Lunedi al Venerdi - 9h/18h)
help.screen.find_answer|Potresti trovare una risposta nella nostra  
help.screen.link_prestashop_guide|guida dedicata PrestaShop
help.screen.knowledge_link_url|https://supportlengow.zendesk.com/hc/en-us/articles/360011970312
legals.screen.simplified_company|Società responsabilità limitata
legals.screen.social_capital|Capitale sociale:
legals.screen.cnil_declaration|Dichiarazione CNIL:
legals.screen.company_registration_number|Numero Registro Impresa, Nantes:
legals.screen.vat_identification_number|Partita IVA:
legals.screen.address|Indirizzo
legals.screen.contact|Contatti
legals.screen.hosting|Hosting
lengow_setting.lengow_account_id_title|ID Cliente
lengow_setting.lengow_access_token_title|Token
lengow_setting.lengow_secret_token_title|Token Segreto
lengow_setting.lengow_shop_active_title|Negozio Attivo
lengow_setting.lengow_catalog_id_title|Catalogo ID
lengow_setting.lengow_catalog_id_legend|ID del catalogo per l'importazione degli ordini. Separarli da '; '
lengow_setting.lengow_shop_token_title|Token Negozio
lengow_setting.lengow_export_selection_enabled_title|Esporta solo la selezione
lengow_setting.lengow_export_selection_enabled_legend|Attiva questa opzione se non vuoi esportare tutti i prodotti disponibile. Poi, seleziona solo i prodotti che vuoi esportare.
lengow_setting.lengow_export_variation_enabled_title|Esportare i prodotti con variazioni
lengow_setting.lengow_export_variation_enabled_legend|Se non vuoi esportare tutte le varianti dei tuoi prodotti, disabilita questa opzione
lengow_setting.lengow_export_out_stock_title|Esportati prodotti con quantità = 0
lengow_setting.lengow_export_out_stock_legend|Attiva questa opzione se vuoi esportare prodotti con quantità = 0
lengow_setting.lengow_export_inactive_title|Esporta i prodotti inattivi
lengow_setting.lengow_export_inactive_legend|Se desideri esportare i prodotti disabilitati attiva questa opzione
lengow_setting.lengow_export_format_title|Esporta formato
lengow_setting.lengow_export_file_enabled_title|Esporta in un file
lengow_setting.lengow_export_file_enabled_legend|E' consigliato attivare questa opzione se avete 3.000 o piu' prodotti nel vostro flusso.
lengow_setting.lengow_export_carrier_default_title|Trasportatore di default
lengow_setting.lengow_last_export_title|Ultima esportazione 
lengow_setting.lengow_order_id_process_title|Ordini in preparazione
lengow_setting.lengow_order_id_shipped_title|Ordine Spedizione
lengow_setting.lengow_order_id_cancel_title|Ordine cancellato
lengow_setting.lengow_order_id_shippedbymp_title|Importa ordini spediti dai marketplace
lengow_setting.lengow_import_force_product_title|Forzare i prodotti
lengow_setting.lengow_import_force_product_legend|Attiva questa opzione se vuoi fozare l'importazione sei tuoi prodotti non disponibili/inattivi
lengow_setting.lengow_carrier_semantic_enable_title|Voglio attivare l'opzione di corrispondenza semantica dei corrieri
lengow_setting.lengow_carrier_semantic_enable_legend|Con questa opzione, fai corrispondere il corriere o il metodo di trasporto indicato dal marketplace con il nome dei vostri corrieri Prestashop.
lengow_setting.lengow_import_days_title|Sincronizza tutti gli ordini aggiornati da
lengow_setting.lengow_import_days_legend|Attiva questa opzione se se hai ordini sospesi incorrettamente. Ti permetterà di importare di nuovo tutti gli rodini che sono stati processati durante questo periodo di blocco
lengow_setting.lengow_import_processing_fee_title|Importare le spese di trattamento
lengow_setting.lengow_import_processing_fee_legend|Attiva questa opzione se vuoi integrare la marketplaces fee nel tuo ordine
lengow_setting.lengow_import_debug_enabled_title|Attiva Debug Mode
lengow_setting.lengow_import_ship_mp_enabled_title|Importa ordini spediti da marketplaces
lengow_setting.lengow_import_stock_ship_mp_title|Voglio ridurre il mio stock
lengow_setting.lengow_import_stock_ship_mp_legend|Utilizza questa opzione per importare i tuoi ordini marketplace nel tuo backoffice PrestaShop
lengow_setting.lengow_report_mail_enabled_title|Vorrei ricevere una notifica quando ci sono problemi in merito all'importazione degli ordini e/o esportazione catalogo
lengow_setting.lengow_report_mail_address_title|Indirizzo email report Lengow
lengow_setting.lengow_report_mail_address_legend|Per aggiungere diverse email, usa " ; " per separarli
lengow_setting.lengow_import_single_enabled_title|Limitato a un solo ordine per processo di importazione
lengow_setting.lengow_import_single_enabled_legend|Adatto alle versioni PrestaShop da 1.5.2 a 1.5.4.* (evita di importare gli ordini due volte)
lengow_setting.lengow_import_in_progress_title|Importazione in corso
lengow_setting.lengow_last_import_cron_title|Cron ultima importazione
lengow_setting.lengow_last_import_manual_title|Ultimo import manuale
lengow_setting.lengow_global_token_title|Lengow global Token
lengow_setting.lengow_authorized_ip_title|IP Autorizzati
lengow_setting.lengow_authorized_ip_legend|IP Autorizzati separati da ;
lengow_setting.lengow_tracking_enabled_title|Attiva il tracking Lengow
lengow_setting.lengow_tracking_id_title|ID Tracking Lengow
lengow_setting.lengow_tracking_id_legend|Il numero degli id unici indicati in Lengow
lengow_log.error.nb_order_imported|%{nb_order} ordine importato
lengow_log.error.nb_order_updated|%{nb_order} ordine aggiornato
lengow_log.error.nb_order_with_error|%{nb_order} errore numero ordine
lengow_log.error.no_notification|Nessuna notifica negli ordini
lengow_log.error.credentials_not_valid|L'account ID, l'accesso al token o il token segreto non sono validi
lengow_log.error.no_catalog_for_shop|Nessun ID catalogo valido per il negozio %{name_shop} (%{id_shop})
lengow_log.error.rest_time_to_import|Attendi %{rest_time} secondi prima di reimportare gli ordini
lengow_log.error.no_product|Lengow error: nessun prodotto nell'ordine
lengow_log.error.no_change_rate|Lengow error: nessun exchange rates disponibile per order prices
lengow_log.error.no_currency|Lengow error: nessuna valuta nell'ordine
lengow_log.error.currency_not_available|%{currency_iso} valuta non é disponibile nel tuo negozio
lengow_log.error.no_country_for_delivery_address|Lengow error: l'indirizzo di spedizione non contiene il paese
lengow_log.error.no_billing_address|Lengow error: nessun indirizzo di fatturazione nell'ordine
lengow_log.error.no_country_for_billing_address|Lengow error: l'indirizzo della fatturazione non contiene nel paese
lengow_log.error.order_not_found|Lengow error: l'ordine non é stato trovato in Lengow
lengow_log.exception.product_not_be_found|prodotto %{product_id} non trovato
lengow_log.exception.product_is_a_parent|il prodotto %{product_id} è un ID padre. Si richiedono i prodotti varianti
lengow_log.exception.no_product_to_cart|nessun prodotto in carrello
lengow_log.exception.cannot_add_product_to_cart|impossibile aggiungere il prodotto %{product_id} in carrello (invalid ID format)
lengow_log.exception.no_quantity_for_product|il prodotto %{product_id} non puo' essere aggiunto in carrello. Assicurati che sia reso disponibi all'acquisto o che abbia abbastanza stock
lengow_log.exception.no_connection_webservice|La connessione con il web service Lengow non funziona per lo shop %{name_shop} (%{id_shop})
lengow_log.exception.error_lengow_webservice|Errore Lengow Webservice : %{error_code} - "%{error_message}" di negozio %{name_shop} (%{id_shop})
lengow_log.exception.order_list_is_empty|impossibile salvare l'ordine
lengow_log.exception.carrier_shipping_address_no_country|nessun trasportatore per indirizzo di spedizione del paese
lengow_log.exception.no_default_carrier_for_country|E' necessario un trasportatore di default per il paese: %{country_name} e marketplace: %{marketplace_name}
lengow_log.exception.marketplace_not_present|Lengow error: %{marketplace_name} non figura nella lista mercato
lengow_log.exception.order_line_required|e' richiesta la linea d'ordine ma non puo' essere trovata nell'ordine
lengow_log.exception.action_not_valid|azione %{action} non valida
lengow_log.exception.marketplace_action_not_present|azione marketplace non disponibile
lengow_log.exception.marketplace_sku_require|è richiesto il riferimento dell'ordine marketplace
lengow_log.exception.marketplace_name_require|richiesto nome marketplace
lengow_log.exception.no_delivery_country_in_order|nessun paese di consegna nell’ordine
lengow_log.exception.match_carrier_with_country|associa trasportatore %{carrier_name} al paese %{country_name}
lengow_log.exception.arg_is_required|invio dell'azione é impossibile: %{arg_name} é richiesto
lengow_log.exception.action_not_created|azione impossibile da realizzare : %{error_message}
lengow_log.exception.action_not_created_api|impossibile creare l'azione poiché l'API Lengow é indisponibile. Riprovi
lengow_log.exception.action_is_too_old|azione ordine è troppo vecchio. Si prega di ripetere la chiamata
lengow_log.exception.cannot_load_order_status|impossibile caricare lo stato ordine
lengow_log.exception.order_creation_failed|creazione PrestaShop ordine fallita
lengow_log.exception.payment_module_not_active|modulo pagamento non attivo
lengow_log.exception.cart_cannot_be_loaded|impossibile caricare in carrello, oppure è già stato fatto un ordine utilizzando questo carrello
lengow_log.exception.delivery_country_not_active|Il paese %{country_name} nell'indirizzo di spedizione non é attivo
lengow_log.exception.product_is_not_listed|prodotto %{product_id} non è inserito in questo ordine
lengow_log.exception.unable_to_save_order|impossibile salvare PrestaShop ordine  - %{error}
lengow_log.exception.unable_to_save_order_payment|impossibile salvare PrestaShop pagamento ordine
lengow_log.mail_report.order|Ordine %{marketplace_sku}
lengow_log.mail_report.no_error_in_report_mail|nessun errore nella mail di report https://supportlengow.zendesk.com/agent/
admin.order.import_lengow|Importazione Lengow
admin.order.imported_from_lengow|Questo ordine è stato importato da Lengow
admin.order.lengow_order_id|Ordine ID Lengow
admin.order.marketplace|Marketplace
admin.order.feed_id|ID Feed
admin.order.delivery_address_id|ID indirizzo di consegna
admin.order.total_paid|Totale pagato di Marketplace
admin.order.commission|Commissione
admin.order.currency|Moneta
admin.order.customer_name|Nome del cliente
admin.order.customer_email|Email cliente
admin.order.carrier|Portatore dal mercato
admin.order.carrier_method|Metodo di spedizione dal mercato
admin.order.carrier_id_relay|Relè ID
admin.order.carrier_tracking|Numero di identificazione
admin.order.shipped_by_marketplace|Spedito da marketplace
admin.order.message|Messaggio
admin.order.imported_at|Importato a
admin.order.cancel_and_reimport|Reimporta ordine
admin.order.check_cancel_and_reimport|Vuoi veramente re-importare l'ordine?
admin.order.synchronize_id|Sincronizza ID
admin.order.resend_action|Re-invia Azione
admin.order.add_tracking|Aggiungi Numero Tracking
admin.order.add_tracking_title|Per favore aggiungi Numero Tracking
admin.order.check_resend_action|Vuoi veramente inviare di nuovo questa azione: %{action}?
